316,884,171,971,911,268,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
	

537,1951,1494,1787,1038,840,1397,1174,211,1601,471,1888,1632,912,1069,957,1766,443,1664,153,912,1584,2003,511,539,1069,957,1828,379,442,761,1072,912,2001,895,383,847,693,693,693	0
	

2,1720,1948,545,1234,1061	0
	

394,291,647,1639,437,211,1068,291,1244,1038,840,1397,1174,211,911,268,693,693,693	0
523,944,1939,85,1397,1117,1140,1841,1541,647,906,902,1445,1882,647,911,211,395,41,647,1865,682,1840,2059,902,1541,486,840,1397,161,1326,65,1038,840,523,944,1939,85,1397,1117,1140,1841,1541,647,906,902,1445,1882,647,911,211,395,41,647,1865,682,1840,2059,902,1541,1601,471,1888,1632,912,1069,957,1766,443,1664,153,912,1584,2003,511,539,1069,957,1828,379,442,761,1072,912,2001,895,383,847	0
	

1875,43,647,1208,1327,335,647,1208,1327,989,647,1043,1103,335,647,1483,953,391,647,1043,16,647,682,16,1069,1743,98,486,840	0
	

520,1081,211,1226,1541,647,182,211,1226,1541,647,714,1523,1541,1601,1133,1620,582,1569,409,379,238,1178,847,962,541,2031,647,227,866,647,956,1887,1069,1743,98,486,840,153,1072,333,911,268,1721,1601,471,1888,1632,912,1069,957,1766,443,1664,153,912,1584,2003,511,539,1069,957,1828,379,442,761,1072,912,2001,895,383,847	0
	

537,1951,211,1068,1912,1613,2035,1721	0
520,1081,211,1226,1541,1601,1226,1541,384,523,1369,442,755,650,1149,1308,317,1517,858,1701,524,1571,514,2049,1701,858,906,1475,847	0
	

362,1379,1441,1878,647,1520,1951,911,268,647,1033,1951,1778,911,268,647,431,1908,911,268,1721,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
	

56,1232,307,55,647,956,1841,134,1389	0
	

956,1322,1711,1995,1198,1841,1038,840,693	0
905,1055,911,268,1397,520,1081,211,1226,1541,486,840,1601,471,1888,1632,912,1069,957,1766,443,1664,153,912,1584,2003,511,539,1069,957,1828,379,442,761,1072,912,2001,895,383,847	0
	

906,902,1541,647,682,496,1541,647,1111,211,1702,211,2001,134,1226,1541,647,1458,1235,902,1541,486,840,1397,1347,1950,610,1841,1541,1584,2003,171,971,911,268,693	0
	

258,1244,816,1541,1734,1616,324,2	0
	

1068,1541,324,1099,911,268	0
122,878,647,122,902,394,291,693,693,693,693,486,840,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
	

1238,144,134,1389,1038,840,693,693,693	0
	

1569,327,1226,1541,647,1704,1226,647,1445,1882	0
	

878,893,17,1433,911,268,647,1840,2059,173,291,647,878,893,1038,840,693	0
906,902,1541,647,682,496,1541,647,1458,1235,902,1541,486,840,1397,1347,1950,610,1841,1541,1584,2003,171,971,911,268,693	0
	

1198,1741,16,1244,647,589,1244,647,520,1039,1244,1198,1841,1038,840,487,1198,1741,307,55,647,134,1389,1670,305,171,971,1912,911,268,693,693	0
	

738,1425,911,268,1721	0
	

878,383,1951,17,1433,1721	0
1425,425,693	0
	

437,1559,152,1172,693,693,693,693,1038,840	0
	

541,1226,324,2,1038,840	0
	

122,859,1841,1541,647,739,1002,729,1718,1841,1541,647,1613,2035,1841,1541,647,2001,134,1169,325,1226,1541,647,1458,1235,902,1541,486,840,647,171,971,1397,911,268,693	0
425,1244,647,238,1572,324,2,1038,840,693	0
	

2,958,1541,324,2,1038,840,487,251,788,2031,477,1038	0
	

835,1054,307,55,1397,1038,840	0
	

122,1909,486,840	0
911,211,486,840,1721	0
	

829,522,1523,175,647,2,958,1613,305,1523,1541,324,2,1038,840,1601,650,1149,1308,1912,1530,307,1556,1924,1369,442,755,1158,1771,847	0
	

956,1841,1541,1038,840,693,693,693	0
	

364,1425,1276,1523,840,153,1350,1133,584,1054,153,1350,1133,1162,366,147,201,153,1350,1133,1198,1226,1886,1841,1541,1721,1601,1369,442,443,1664,912,2001,1308,1954,1912,1369,442,755,2022,152,1308,1954,1158,1771,847	0
911,211,647,1569,327,705,1909,647,568,366,248,1541,647,1691,1326,539,59,486,840	0
	

911,211,647,1068,1541,647,1081,1276,1038,840	0
	

227,647,866,647,1704,1226,647,520,1081,211,1226,1541,486,840,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
	

1875,175,1741,647,50,1887,835,1054,647,366,710,1793,1049,307,55,1397,1038,840,487,956,1841,134,1389,1397,1038,840,487,388,1750,1653,1815,1447,928,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
1969,866,1523,1855,1397,1038,840,487,318,1901,1269,829,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
	

1863,1523,1541,324,2,1038,840	0
	

49,670,902,1541,962,682,496,1541,962,2001,134,1226,1541,962,1458,1235,902,1909,486,840,1397,171,971,911,268,693	0
	

1425,425,911,268,693,693	0
956,1841,134,1389,1397,1038,840,1721,1601,546,1397,1369,442,912,2001,443,1664,153,538,1496,1881,1584,2003,511,539,1369,442,1828,379,442,912,2001,847	0
	

589,1244,1038,840,487,1875,1704,1841,1541,477,1038,693,693,693	0
	

682,496,1541,647,906,902,1541,647,1358,122,878,1038,840,1397,171,971,911,268	0
	

1494,1574,486,840,487,1226,902,2031,1244,324,2,487	0
481,1909,486,840,693,693,693	0
	

1572,372,1397,1572,96,1909,1069,486,98,2001,1397,1584,2003,1841,1541,171,971,911,268,1601,471,1888,1632,912,1069,957,1766,443,1664,153,912,1584,2003,511,539,1069,957,1828,379,442,761,1072,912,2001,895,383,847	0
	

1351,395,647,1433,395	0
	

2056,1244,647,211,1068,291,1244	0
1358,1445,1882,647,1704,1226,647,682,16,486,840,1601,1900,235,1255,760,1069,1640,342,455,1308,1766,1350,1881,912,2001,847,693	0
	

537,1951,409,1538,647,1948,2031	0
	

1948,545,324,2	0
	

1974,1841,1541,477,1038,487,1974,1909	0
